chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
chr1	91011313	91011391	augPB-7734.t2	0	0	0	0	46	ENSG00000085552.17	IGSF9
chr1	92812466	92812575	augPB-7747.t2	0	0	0	0	6	ENSG00000158473.7	CD1D
chr1	93302054	93302191	augPB-7752.t1	0	0	0	0	2	ENSG00000160856.21	FCRL3
chr1	94009620	94009720	augPB-7761.t2	1	0	1	0	2	ENSG00000132694.18	ARHGEF11
chr1	94024664	94024763	augPB-7761.t6	0	0	0	0	9	ENSG00000132694.18	ARHGEF11
chr1	94033312	94033354	augPB-7762.t5	1	0	0	0	68	ENSG00000160838.14	LRRC71
chr1	94114385	94114436	augPB-7764.t2	0	0	0	0	2	ENSG00000198400.11	NTRK1
chr1	94124094	94124264	augPB-7765.t1	0	0	0	0	2	ENSG00000027644.5	INSRR
chr1	94416840	94416977	augPB-7779.t1	5	12	1	2	27	ENSG00000183856.11	IQGAP3
chr1	95222136	95222227	augPB-7805.t3	0	0	0	0	8	ENSG00000116580.18	GON4L
chr1	95227986	95228043	augPB-7805.t2	0	0	0	0	1	ENSG00000116580.18	GON4L
chr1	95282303	95282357	augCGP-1577.t1	0	0	0	0	443	ENSG00000132676.16	DAP3
chr1	95689503	95689914	augPB-7811.t2	0	0	0	0	38	ENSG00000160753.16	RUSC1
chr1	95810931	95811017	augPB-7819.t1	0	1	4	0	3	ENSG00000160766.14	GBAP1
chr1	95979668	95979766	augPB-7831.t4	0	0	0	0	83	ENSG00000143537.13	ADAM15
chr1	95979668	95979796	augPB-7831.t5	0	0	0	0	25	ENSG00000143537.13	ADAM15
chr1	97658864	97659094	augPB-7880.t1	0	0	0	0	7	ENSG00000224784.2	S100A15A
chr1	99388237	99388387	augPB-7907.t1	0	0	0	0	44	ENSG00000159409.15	CELF3
chr1	99984362	99984423	augPB-7924.t1	0	0	0	0	2	ENSG00000143458.12	GABPB2
chr1	99996776	99996959	augPB-7924.t1	0	0	0	0	10	ENSG00000143458.12	GABPB2
chr1	100295633	100295760	augPB-7933.t3	0	0	0	6	28	ENSG00000143437.21	ARNT
chr1	100317259	100317419	augPB-7933.t1	7	3	5	10	28	ENSG00000143437.21	ARNT
chr1	100675723	100676905	augPB-7943.t5	0	3	1	2	40	ENSG00000163125.15	RPRD2
chr1	100868098	100868288	augPB-7946.t2	0	0	0	0	13	ENSG00000159208.16	CIART
chr1	110250072	110250199	augPB-8073.t11	0	0	0	0	53	ENSG00000163349.22	HIPK1
chr1	111094825	111094879	augPB-8081.t1	0	0	0	0	5	ENSG00000198799.12	LRIG2
chr1	114469166	114469248	augCGP-1924.t1	0	0	0	5	150	ENSG00000213366.13	GSTM2
chr1	114870074	114870327	augPB-8149.t2	1	0	0	0	32	ENSG00000143126.8	CELSR2
chr1	115442611	115442669	augPB-8165.t4	0	0	0	0	88	ENSG00000162641.20	AKNAD1
chr1	115970976	115971144	augCGP-1960.t1	0	0	0	0	121	ENSG00000241361.8	SLC25A24P1
chr1	116555600	116555693	augPB-8180.t3	0	0	0	0	5	ENSG00000134215.16	VAV3
chr1	121193534	121193681	augPB-8187.t2	0	0	0	0	3	ENSG00000060718.22	COL11A1
chr1	122650248	122650463	augPB-8192.t1	0	0	0	0	1	ENSG00000231671.1	LINC01307
chr1	122739034	122739130	augPB-8192.t1	0	0	0	0	1	ENSG00000231671.1	LINC01307
chr1	122749218	122749316	augPB-8192.t1	0	0	0	0	1	ENSG00000231671.1	LINC01307
chr1	124062083	124062175	augPB-8205.t2	0	0	0	0	12	ENSG00000156876.10	SASS6
chr1	126610544	126610582	augPB-8218.t1	0	0	0	0	1	ENSG00000188641.14	DPYD
chr1	130986079	130986236	augPB-8241.t3	0	0	0	0	89	ENSG00000122483.17	CCDC18
chr1	132207366	132207426	augPB-8256.t2	0	0	0	0	220	ENSG00000137948.18	BRDT
chr1	132859086	132859193	augCGP-2033.t1	0	0	0	0	203	ENSG00000162669.16	HFM1
chr1	132859288	132859336	augCGP-2033.t1	0	0	0	0	203	ENSG00000162669.16	HFM1
chr1	132863175	132863273	augCGP-2033.t1	0	0	0	0	204	ENSG00000162669.16	HFM1
chr1	132863355	132863487	augCGP-2033.t1	0	0	0	0	202	ENSG00000162669.16	HFM1
chr1	132866093	132866179	augCGP-2033.t1	0	0	0	0	199	ENSG00000162669.16	HFM1
chr1	132866398	132866482	augCGP-2033.t1	0	0	0	0	196	ENSG00000162669.16	HFM1
chr1	132866610	132866768	augCGP-2033.t1	0	0	0	0	199	ENSG00000162669.16	HFM1
chr1	132868564	132868668	augCGP-2033.t1	0	0	0	0	202	ENSG00000162669.16	HFM1
chr1	132869130	132869277	augCGP-2033.t1	0	0	0	0	206	ENSG00000162669.16	HFM1
chr1	133181420	133181528	augPB-8266.t2	0	0	0	0	2	ENSG00000162669.16	HFM1
chr1	135096065	135096346	augPB-8275.t1	0	0	0	0	1	ENSG00000183347.14	GBP6
chr1	135204556	135204837	augPB-8276.t1	0	0	0	0	1	ENSG00000213512.3	GBP7
chr1	137856443	137856622	augPB-8291.t1	0	0	0	0	254	ENSG00000153923.10	CLCA3P
chr1	139767732	139767903	augPB-8307.t2	11	4	3	2	187	ENSG00000117155.16	SSX2IP
chr1	140043015	140043132	augPB-8313.t1	0	0	0	0	1	ENSG00000240520.6	UOX
chr1	140057211	140057295	augPB-8313.t1	0	0	0	0	4	ENSG00000240520.6	UOX
chr1	142481253	142481268	augPB-8320.t5	1	0	1	0	21	ENSG00000117114.19	ADGRL2
chr1	148338497	148338596	augPB-8338.t1	0	0	0	0	4	ENSG00000230027.2	AC092813.2
chr1	148342886	148343000	augPB-8338.t1	0	0	0	0	4	ENSG00000230027.2	AC092813.2
chr1	149833015	149833141	augPB-8348.t2	0	0	0	0	28	ENSG00000178965.14	ERICH3
chr1	155975093	155975140	augPB-8370.t1	0	0	0	0	4	ENSG00000116745.7	RPE65
chr1	157068402	157068519	augPB-8376.t1	0	0	0	0	1	ENSG00000081985.11	IL12RB2
chr1	157739389	157739872	augPB-8382.t3	0	0	0	0	14	ENSG00000118473.22	SGIP1
chr1	157786378	157786447	augPB-8382.t1	0	0	0	0	11	ENSG00000118473.22	SGIP1
chr1	159226922	159227033	augPB-8389.t2	0	0	0	0	72	ENSG00000162433.15	AK4
chr1	159880704	159880733	augPB-8393.t4	0	0	0	0	6	ENSG00000158966.16	CACHD1
chr1	160193229	160193323	augPB-8394.t3	0	0	0	0	46	ENSG00000177414.13	UBE2U
chr1	160928430	160928544	augPB-8400.t1	0	0	0	0	141	ENSG00000203965.13	EFCAB7
chr1	161050428	161050468	augPB-8402.t1	0	0	0	0	1	ENSG00000088035.18	ALG6
chr1	167669057	167669195	augPB-8436.t1	0	0	0	0	1	ENSG00000187889.13	FYB2
chr1	167676997	167677136	augPB-8436.t3	0	0	0	0	1	ENSG00000187889.13	FYB2
chr1	169266437	169266600	augPB-8442.t2	1	0	0	0	4	ENSG00000162402.14	USP24
chr1	169391090	169391221	augPB-8443.t2	0	0	0	0	29	ENSG00000169174.11	PCSK9
chr1	170377756	170377841	augPB-8460.t4	27	24	16	5	574	ENSG00000116209.12	TMEM59
chr1	171506125	171506245	augPB-8480.t2	0	0	0	0	14	ENSG00000121310.17	ECHDC2
chr1	171506130	171506245	augPB-8480.t3	0	0	0	0	1	ENSG00000121310.17	ECHDC2
chr1	171509420	171509649	augPB-8480.t2	0	0	0	0	7	ENSG00000121310.17	ECHDC2
chr1	172065791	172066143	augCGP-2239.t1	0	149	75	83	70	ENSG00000085840.13	ORC1
chr1	173030113	173030314	augPB-8499.t2	2	5	0	0	356	ENSG00000085832.17	EPS15
chr1	176963421	176963537	augPB-8518.t1	0	0	0	0	2	ENSG00000186564.5	FOXD2
chr1	177961894	177961938	augPB-8534.t1	0	0	0	0	2	ENSG00000232022.7	FAAHP1
chr1	177962824	177962891	augPB-8534.t2	0	0	0	0	1	ENSG00000232022.7	FAAHP1
chr1	177968802	177968952	augPB-8535.t1	0	0	0	0	2	ENSG00000232022.7	FAAHP1
chr1	178360099	178360290	augPB-8545.t2	3	0	0	1	97	ENSG00000086015.22	MAST2
chr1	179597025	179597134	augPB-8564.t2	0	0	0	0	6	ENSG00000117425.14	PTCH2
chr1	179600333	179600470	augPB-8564.t2	0	0	0	0	16	ENSG00000117425.14	PTCH2
chr1	179625670	179625838	augPB-8566.t3	0	0	0	0	24	ENSG00000173846.13	PLK3
chr1	180036680	180036865	augPB-8575.t1	0	0	0	0	71	ENSG00000187147.18	RNF220
chr1	180037390	180037429	augPB-8575.t1	0	0	0	0	73	ENSG00000187147.18	RNF220
chr1	180458304	180458372	augPB-8581.t4	1	0	3	2	16	ENSG00000159214.13	CCDC24
chr1	180926136	180926189	augPB-8588.t7	0	0	0	0	2	ENSG00000142949.17	PTPRF
chr1	181034316	181034404	augPB-8590.t2	0	0	0	0	2	ENSG00000198198.17	SZT2
chr1	184086762	184086861	augPB-8634.t4	0	1	0	0	24	ENSG00000187815.10	ZFP69
chr1	184087402	184087555	augPB-8634.t4	0	0	0	0	3	ENSG00000187815.10	ZFP69
chr1	184891644	184891766	augPB-8652.t1	0	0	0	0	190	ENSG00000116983.13	HPCAL4
chr1	188279940	188280081	augPB-8699.t1	5	5	13	22	309	ENSG00000054118.15	THRAP3
chr1	189031340	189031506	augPB-8712.t2	0	0	0	0	1	ENSG00000116819.8	TFAP2E
chr1	191101477	191101543	augPB-8734.t1	1	2	0	0	19	ENSG00000121904.17	CSMD2
chr1	191146483	191146909	augPB-8735.t2	0	0	1	0	7	ENSG00000121903.14	ZSCAN20
chr1	192424493	192424602	augCGP-2510.t1	0	0	0	0	1	ENSG00000220785.7	MTMR9LP
chr1	192431572	192431718	augPB-8763.t1	0	0	1	0	16	ENSG00000220785.7	MTMR9LP
chr1	192980431	192980467	augPB-8775.t1	0	0	0	1	51	ENSG00000084636.18	COL16A1
chr1	195584193	195584604	augPB-8799.t5	1	1	0	0	12	ENSG00000159023.21	EPB41
chr1	198415444	198415528	augPB-8847.t2	0	0	0	0	61	ENSG00000176083.17	ZNF683
chr1	200778794	200778891	augPB-8898.t1	1	2	11	0	47	ENSG00000188529.15	SRSF10
chr1	201088603	201088693	augPB-8907.t2	0	0	0	0	6	ENSG00000229239.2	AL451000.1
chr1	201807485	201807558	augPB-8919.t1	0	0	0	0	2	ENSG00000215906.8	LACTBL1
chr1	201814450	201814586	augPB-8919.t1	0	0	0	0	2	ENSG00000215906.8	LACTBL1
chr1	201883668	201883738	augPB-8920.t3	1	0	0	0	4	ENSG00000133216.16	EPHB2
chr1	202302809	202302906	augPB-8927.t2	0	0	0	0	25	ENSG00000184677.18	ZBTB40
chr1	202920355	202920517	augPB-8933.t2	0	0	0	0	1	ENSG00000142798.20	HSPG2
chr1	203620024	203620161	augPB-8940.t1	0	0	0	0	23	ENSG00000075151.20	EIF4G3
chr1	205053765	205053802	augPB-8959.t2	0	0	0	0	9	ENSG00000158748.4	HTR6
chr1	205399422	205399494	augPB-8963.t1	0	0	0	0	23	ENSG00000040487.13	SLC66A1
chr1	207028148	207028207	augPB-8976.t1	0	0	0	0	1	ENSG00000236648.2	LINC02810
chr1	207139840	207140013	augPB-8977.t2	1	0	0	0	3	ENSG00000074964.17	ARHGEF10L
chr1	207794413	207794578	augPB-8987.t2	1	1	0	1	4	ENSG00000058453.17	CROCC
chr1	208321747	208321826	augPB-8997.t1	0	0	0	0	159	ENSG00000157191.20	NECAP2
chr1	208546117	208546214	augPB-9001.t4	0	0	1	0	20	ENSG00000132881.12	CPLANE2
chr1	208723132	208723232	augPB-9007.t4	0	0	0	0	1	ENSG00000184908.17	CLCNKB
chr1	208723132	208723337	augPB-9007.t2	0	0	0	0	1	ENSG00000184908.17	CLCNKB
chr1	208743264	208743372	augCGP-2752.t1	0	0	0	0	6	ENSG00000186510.12	CLCNKA
chr1	208744377	208744462	augPB-9008.t2	0	0	0	0	1	ENSG00000186510.12	CLCNKA
chr1	208745499	208745582	augPB-9008.t2	0	0	0	0	2	ENSG00000186510.12	CLCNKA
chr1	210705441	210705616	augPB-9031.t5	0	0	0	0	4	ENSG00000231606.2	AL357873.1
chr1	210705459	210705616	augPB-9031.t1	0	0	0	0	9	ENSG00000231606.2	AL357873.1
chr1	210705713	210705791	augPB-9031.t2	0	0	0	0	8	ENSG00000231606.2	AL357873.1
chr1	212341090	212341287	augPB-9044.t1	0	0	0	0	1	ENSG00000120949.15	TNFRSF8
chr1	212612953	212613022	augPB-9050.t1	0	0	0	0	13	ENSG00000175206.10	NPPA
chr1	212672523	212672634	augPB-9053.t3	0	0	2	0	53	ENSG00000215910.7	C1orf167
chr1	212674692	212674794	augPB-9053.t3	0	0	0	0	51	ENSG00000215910.7	C1orf167
chr1	212675861	212676108	augPB-9053.t3	0	0	0	0	54	ENSG00000215910.7	C1orf167
chr1	212695157	212696374	augPB-9053.t9	0	0	0	0	48	ENSG00000215910.7	C1orf167
chr1	212750351	212750463	augPB-9055.t4	0	1	0	0	80	ENSG00000162490.7	DRAXIN
chr1	213338424	213338490	augCGP-2813.t1	0	26	28	20	436	ENSG00000198793.13	MTOR
chr1	213503920	213504051	augPB-9070.t1	0	0	0	0	1	ENSG00000175262.14	C1orf127
chr1	213802711	213803219	augPB-9073.t1	0	0	0	0	1	ENSG00000130940.15	CASZ1
chr1	213803411	213803546	augPB-9073.t1	0	0	0	0	1	ENSG00000130940.15	CASZ1
chr1	214767124	214767289	augPB-9088.t2	0	1	0	0	10	ENSG00000171608.16	PIK3CD
chr1	215232316	215232528	augPB-9094.t1	0	0	0	0	3	ENSG00000049239.12	H6PD
chr1	215553999	215554140	augPB-9099.t5	0	0	0	0	7	ENSG00000131686.15	CA6
chr1	216778344	216778529	augPB-9108.t3	1	1	3	0	68	ENSG00000171735.19	CAMTA1
chr1	217932217	217932427	augPB-9115.t3	0	0	0	0	53	ENSG00000204859.13	ZBTB48
chr1	218044491	218044637	augCGP-2863.t1	0	0	2	1	79	ENSG00000171680.22	PLEKHG5
chr1	218056476	218056614	augPB-9119.t3	0	0	0	0	1	ENSG00000215788.10	TNFRSF25
chr1	218317276	218317318	augPB-9126.t4	0	0	0	0	1	ENSG00000158286.13	RNF207
chr1	218632308	218632460	augPB-9131.t3	0	0	0	0	19	ENSG00000131697.18	NPHP4
chr1	218632311	218632460	augPB-9131.t4	0	0	0	0	47	ENSG00000131697.18	NPHP4
chr1	221007828	221007948	augPB-9155.t1	0	0	0	0	22	ENSG00000162591.16	MEGF6
chr1	222209307	222209427	augPB-9179.t3	0	0	0	0	1	ENSG00000162585.17	FAAP20
chr1	222486463	222486551	augCGP-2924.t1	0	0	0	0	83	ENSG00000142609.18	CFAP74
chr1	223071708	223072173	augPB-9207.t1	0	0	0	0	57	ENSG00000162576.16	MXRA8
chr1	223134223	223134317	augPB-9214.t3	0	0	0	0	1	ENSG00000162572.21	SCNN1D
chr1	223178069	223178174	augPB-9216.t1	0	0	0	0	1	ENSG00000184163.3	C1QTNF12
chr1	223461892	223462078	augPB-9230.t4	0	0	0	0	1	ENSG00000187961.14	KLHL17
chr1	223567506	223567664	augCGP-2973.t1	0	0	0	11	128	ENSG00000227124.11	ZNF717
chr1	223590510	223590637	augPB-9233.t1	0	0	0	0	32	ENSG00000227124.11	ZNF717
chr1	223590870	223590963	augPB-9233.t1	0	0	0	0	142	ENSG00000227124.11	ZNF717
chr10	745661	745757	augPB-3702.t1	0	0	0	0	2	ENSG00000225929.1	AC000036.1
chr10	750956	751076	augPB-3702.t1	0	0	0	0	4	ENSG00000225929.1	AC000036.1
chr10	754079	754246	augPB-3702.t1	0	0	0	0	2	ENSG00000225929.1	AC000036.1
chr10	765538	765623	augPB-3704.t1	0	0	0	0	9	ENSG00000251322.9	SHANK3
chr10	765542	765623	augPB-3704.t4	0	0	0	0	1	ENSG00000251322.9	SHANK3
chr10	803749	803953	augPB-3704.t3	0	0	0	0	1	ENSG00000251322.9	SHANK3
chr10	879417	880608	augPB-3706.t2	0	0	0	0	14	ENSG00000008735.14	MAPK8IP2
chr10	1261438	1261628	augPB-3728.t3	0	0	0	0	31	ENSG00000128159.12	TUBGCP6
chr10	1283670	1283810	augPB-3731.t3	0	0	0	0	151	ENSG00000170638.9	TRABD
chr10	1391926	1391985	augPB-3734.t1	0	0	0	0	83	ENSG00000100427.15	MLC1
chr10	1420073	1420175	augPB-3735.t1	0	0	0	0	11	ENSG00000138892.11	TTLL8
chr10	1440081	1440258	augPB-3735.t2	0	0	0	0	4	ENSG00000138892.11	TTLL8
chr10	1474582	1474717	augPB-3736.t3	0	0	0	0	12	ENSG00000188263.10	IL17REL
chr10	2055161	2055307	augPB-3742.t1	0	0	0	0	3	ENSG00000188511.12	C22orf34
chr10	4923965	4924076	augPB-3756.t1	0	0	0	0	1	ENSG00000075275.16	CELSR1
chr10	5433620	5433752	augPB-3763.t1	0	0	0	0	1	ENSG00000197182.14	MIRLET7BHG
chr10	6148976	6149087	augPB-3769.t2	0	0	0	0	65	ENSG00000077935.17	SMC1B
chr10	7281691	7281757	augPB-3781.t2	0	0	0	0	1	ENSG00000138964.17	PARVG
chr10	7751153	7751219	augPB-3788.t1	0	0	0	0	48	ENSG00000186976.15	EFCAB6
chr10	9285401	9291092	augPB-3809.t1	0	0	0	0	6	ENSG00000100207.18	TCF20
chr10	9348882	9349043	augCGP-20571.t1	0	0	0	0	1	ENSG00000226450.2	CYP2D8P
chr10	9468952	9469043	augPB-3818.t2	0	0	0	0	71	ENSG00000183066.14	WBP2NL
chr10	9596000	9596432	augPB-3823.t1	0	0	0	0	2	ENSG00000234965.2	SHISA8
chr10	12322418	12322473	augPB-3869.t1	0	0	0	0	5	ENSG00000284633.1	AL031590.1
chr10	12494610	12494725	augCGP-20649.t1	0	0	0	0	8	ENSG00000128394.17	APOBEC3F
chr10	12494968	12495263	augCGP-20649.t1	0	0	0	0	3	ENSG00000128394.17	APOBEC3F
chr10	12526721	12526878	augCGP-20649.t1	0	0	0	0	9	ENSG00000128394.17	APOBEC3F
chr10	12732152	12732375	augPB-3879.t1	0	0	0	1	26	ENSG00000221890.4	NPTXR
chr10	13496986	13497072	augPB-3898.t1	0	0	0	0	7	ENSG00000100142.15	POLR2F
chr10	13500675	13500781	augPB-3898.t1	0	0	0	0	11	ENSG00000100142.15	POLR2F
chr10	14462001	14462081	augPB-3925.t5	0	0	0	0	5	ENSG00000187045.18	TMPRSS6
chr10	14500753	14500840	augPB-3925.t5	0	0	0	0	1	ENSG00000187045.18	TMPRSS6
chr10	14506244	14506525	augPB-3926.t3	0	0	0	0	13	ENSG00000100379.17	KCTD17
chr10	14643449	14643643	augPB-3930.t1	0	0	0	0	1	ENSG00000100368.14	CSF2RB
chr10	14859867	14859970	augPB-3935.t1	0	0	0	0	3	ENSG00000234688.1	AL049749.1
chr10	15267023	15267086	augPB-3940.t1	0	0	0	0	12	ENSG00000100345.21	MYH9
chr10	15891599	15892434	augPB-3948.t2	0	0	0	0	4	ENSG00000221963.6	APOL6
chr10	15898225	15898314	augPB-3948.t2	0	0	0	0	3	ENSG00000221963.6	APOL6
chr10	16373138	16373308	augPB-3954.t3	0	0	0	0	1	ENSG00000100281.14	HMGXB4
chr10	19902596	19902701	augPB-3979.t1	0	0	0	0	45	ENSG00000185721.13	DRG1
chr10	19978503	19978565	augPB-3979.t1	0	0	0	0	7	ENSG00000185721.13	DRG1
chr10	21084668	21084743	augPB-3998.t3	0	0	0	0	7	ENSG00000100012.11	SEC14L3
chr10	21175900	21176176	augPB-4002.t3	0	0	0	0	2	ENSG00000187860.10	CCDC157
chr10	21503170	21503255	augPB-4008.t1	0	0	0	0	7	ENSG00000227117.6	HORMAD2-AS1
chr10	22916595	22916645	augPB-4033.t1	0	0	0	0	1	ENSG00000100154.14	TTC28
chr10	23307514	23307610	augPB-4034.t1	0	0	0	0	11	ENSG00000100154.14	TTC28
chr10	24097497	24097597	augPB-4039.t1	0	0	0	0	2	ENSG00000227880.1	AL050402.1
chr10	28088432	28088571	augCGP-20906.t1	0	0	0	0	11	ENSG00000225282.1	AP000350.2
chr10	28155556	28155733	augCGP-20911.t1	27	44	142	13	40	ENSG00000235689.1	AC253536.4
chr10	28158322	28158473	augCGP-20911.t1	30	41	95	8	11	ENSG00000235689.1	AC253536.4
chr10	28160682	28160770	augCGP-20911.t1	19	26	44	7	40	ENSG00000235689.1	AC253536.4
chr10	28174322	28174494	augCGP-20911.t1	0	0	0	0	3	ENSG00000235689.1	AC253536.4
chr10	28175881	28176058	augCGP-20911.t1	0	0	0	0	6	ENSG00000235689.1	AC253536.4
chr10	28349715	28349942	augPB-4092.t1	1	0	0	1	47	ENSG00000099991.18	CABIN1
chr10	28423380	28423508	augCGP-20917.t1	0	0	10	1	4	ENSG00000099998.17	GGT5
chr10	28544089	28544111	augPB-4100.t3	0	0	0	0	52	ENSG00000189269.12	DRICH1
chr10	28551972	28552052	augPB-4100.t3	0	0	0	0	54	ENSG00000189269.12	DRICH1
chr10	28552511	28552536	augPB-4100.t3	0	0	0	3	32	ENSG00000189269.12	DRICH1
chr10	29215003	29215143	augCGP-20946.t1	0	0	0	0	84	ENSG00000186716.21	BCR
